unit,department_name,department_description,department_category,unit_description
284,CPD,Youth Division/School Patrol,CPD,CPD - Youth Division/School Patrol
300,CPD-Other,Other Police,CPD,CPD - Other Police
301,CPD-Other,Other Police,CPD,CPD - Other Police
309,CPD-Other,Other Police,CPD,CPD - Other Police
311,CPD-Other,Gang Team 1,CPD,CPD - Gang Team 1
312,CPD-Other,Gang Team 2,CPD,CPD - Gang Team 2
313,CPD-Other,Gang Team 3,CPD,CPD - Gang Team 3
314,CPD-Other,Gang Team 4,CPD,CPD - Gang Team 4
315,CPD-Other,Gang Team 5,CPD,CPD - Gang Team 5
325,CPD-Other,Other Police,CPD,CPD - Other Police
333,Miscellaneous,Mayor's Office of People w Disabilities,Miscellaneous/Other,Miscellaneous/Other - Mayor's Office of People w Disabilities
341,CPD-Other,K9 Unit,CPD,CPD - K9 Unit
351,CPD-Other,Other Police,CPD,CPD - Other Police
353,CPD,Operation Closed Market,CPD,CPD - Operation Closed Market
355,CPD-Other,Other Police,CPD,CPD - Other Police
376,CPD-Other,Alternate Response Section,CPD,CPD - Alternate Response Section
377,CPD-Other,Evidence Technician Team - North,CPD,CPD - Evidence Technician Team - North
384,CPD-Other,Juvenile Intervention,CPD,CPD - Juvenile Intervention
